------Mass density on XY plane (unit:g/cm^3)------
dx = 2.000, dy = 2.000, dz = 72.000
xpos   ypos   zpos   massDensity
1.000 1.000 36.000 0.000000
1.000 3.000 36.000 0.000000
1.000 5.000 36.000 0.000000
1.000 7.000 36.000 0.000000
1.000 9.000 36.000 0.000000
1.000 11.000 36.000 0.000000
1.000 13.000 36.000 0.000000
1.000 15.000 36.000 0.000000
1.000 17.000 36.000 0.000000
1.000 19.000 36.000 0.000000
1.000 21.000 36.000 0.000000
1.000 23.000 36.000 0.000000
1.000 25.000 36.000 0.000000
1.000 27.000 36.000 0.000000
1.000 29.000 36.000 0.000000
1.000 31.000 36.000 0.000000
1.000 33.000 36.000 0.000000
1.000 35.000 36.000 0.000000
1.000 37.000 36.000 0.000000
1.000 39.000 36.000 0.000000
1.000 41.000 36.000 0.000000
1.000 43.000 36.000 0.000000
1.000 45.000 36.000 0.000000
1.000 47.000 36.000 0.000000
1.000 49.000 36.000 0.000000
1.000 51.000 36.000 0.000000
1.000 53.000 36.000 0.000000
1.000 55.000 36.000 0.000000
1.000 57.000 36.000 0.000000
1.000 59.000 36.000 0.000000
1.000 61.000 36.000 0.000000
1.000 63.000 36.000 0.000000
1.000 65.000 36.000 0.000000
1.000 67.000 36.000 0.000000
1.000 69.000 36.000 0.000000
1.000 71.000 36.000 0.000000
1.000 73.000 36.000 0.000000
1.000 75.000 36.000 0.000000
1.000 77.000 36.000 0.000000
1.000 79.000 36.000 0.000000
1.000 81.000 36.000 0.000000
1.000 83.000 36.000 0.000000
1.000 85.000 36.000 0.000000
1.000 87.000 36.000 0.000000
1.000 89.000 36.000 0.000000
1.000 91.000 36.000 0.000000
1.000 93.000 36.000 0.000000
1.000 95.000 36.000 0.000000
1.000 97.000 36.000 0.000000
1.000 99.000 36.000 0.000000
1.000 101.000 36.000 0.000000
1.000 103.000 36.000 0.000000
1.000 105.000 36.000 0.000000
1.000 107.000 36.000 0.000000
1.000 109.000 36.000 0.000000
1.000 111.000 36.000 0.000000
1.000 113.000 36.000 0.000000
1.000 115.000 36.000 0.000000
3.000 1.000 36.000 0.000000
3.000 3.000 36.000 0.000000
3.000 5.000 36.000 0.000000
3.000 7.000 36.000 0.000000
3.000 9.000 36.000 0.000000
3.000 11.000 36.000 0.000000
3.000 13.000 36.000 0.000000
3.000 15.000 36.000 0.000000
3.000 17.000 36.000 0.000000
3.000 19.000 36.000 0.000000
3.000 21.000 36.000 0.000000
3.000 23.000 36.000 0.000000
3.000 25.000 36.000 0.000000
3.000 27.000 36.000 0.000000
3.000 29.000 36.000 0.000000
3.000 31.000 36.000 0.000000
3.000 33.000 36.000 0.000000
3.000 35.000 36.000 0.000000
3.000 37.000 36.000 0.000000
3.000 39.000 36.000 0.000000
3.000 41.000 36.000 0.000000
3.000 43.000 36.000 0.000000
3.000 45.000 36.000 0.000000
3.000 47.000 36.000 0.000000
3.000 49.000 36.000 0.000000
3.000 51.000 36.000 0.000000
3.000 53.000 36.000 0.000000
3.000 55.000 36.000 0.000000
3.000 57.000 36.000 0.000000
3.000 59.000 36.000 0.000000
3.000 61.000 36.000 0.000000
3.000 63.000 36.000 0.000000
3.000 65.000 36.000 0.000000
3.000 67.000 36.000 0.000000
3.000 69.000 36.000 0.000000
3.000 71.000 36.000 0.000000
3.000 73.000 36.000 0.000000
3.000 75.000 36.000 0.000000
3.000 77.000 36.000 0.000000
3.000 79.000 36.000 0.000000
3.000 81.000 36.000 0.000000
3.000 83.000 36.000 0.000000
3.000 85.000 36.000 0.000000
3.000 87.000 36.000 0.000000
3.000 89.000 36.000 0.000000
3.000 91.000 36.000 0.000000
3.000 93.000 36.000 0.000000
3.000 95.000 36.000 0.000000
3.000 97.000 36.000 0.000000
3.000 99.000 36.000 0.000000
3.000 101.000 36.000 0.000000
3.000 103.000 36.000 0.000000
3.000 105.000 36.000 0.000000
3.000 107.000 36.000 0.000000
3.000 109.000 36.000 0.000000
3.000 111.000 36.000 0.000000
3.000 113.000 36.000 0.000000
3.000 115.000 36.000 0.000000
5.000 1.000 36.000 0.000000
5.000 3.000 36.000 0.000000
5.000 5.000 36.000 0.000000
5.000 7.000 36.000 0.000000
