------Mass density on XY plane (unit:g/cm^3)------
dx = 2.000, dy = 2.000, dz = 72.000
xpos   ypos   zpos   massDensity
1.000 1.000 36.000 0.923207
1.000 3.000 36.000 0.750337
1.000 5.000 36.000 0.969701
1.000 7.000 36.000 0.911583
1.000 9.000 36.000 1.032889
1.000 11.000 36.000 0.946454
1.000 13.000 36.000 1.130947
1.000 15.000 36.000 0.940642
1.000 17.000 36.000 0.934830
1.000 19.000 36.000 0.825149
1.000 21.000 36.000 0.761961
1.000 23.000 36.000 1.032889
1.000 25.000 36.000 1.038700
1.000 27.000 36.000 0.640655
1.000 29.000 36.000 1.125135
1.000 31.000 36.000 0.929019
1.000 33.000 36.000 0.842584
1.000 35.000 36.000 1.056136
1.000 37.000 36.000 0.963889
1.000 39.000 36.000 1.027077
1.000 41.000 36.000 0.629032
1.000 43.000 36.000 1.183253
1.000 45.000 36.000 0.940642
1.000 47.000 36.000 1.229005
1.000 49.000 36.000 0.640655
1.000 51.000 36.000 1.240629
1.000 53.000 36.000 0.767773
1.000 55.000 36.000 0.923207
1.000 57.000 36.000 0.732902
1.000 59.000 36.000 1.027077
1.000 61.000 36.000 1.160006
1.000 63.000 36.000 0.923207
1.000 65.000 36.000 0.952266
1.000 67.000 36.000 0.744526
1.000 69.000 36.000 0.911583
1.000 71.000 36.000 1.136759
1.000 73.000 36.000 0.340669
1.000 75.000 36.000 1.113512
1.000 77.000 36.000 0.646467
1.000 79.000 36.000 0.929019
1.000 81.000 36.000 0.629032
1.000 83.000 36.000 1.044512
1.000 85.000 36.000 1.015453
1.000 87.000 36.000 1.125135
1.000 89.000 36.000 0.617408
1.000 91.000 36.000 0.848396
1.000 93.000 36.000 1.107700
1.000 95.000 36.000 0.819337
1.000 97.000 36.000 0.940642
1.000 99.000 36.000 0.761961
1.000 101.000 36.000 1.217382
1.000 103.000 36.000 0.646467
1.000 105.000 36.000 0.813525
1.000 107.000 36.000 0.830960
1.000 109.000 36.000 1.021265
1.000 111.000 36.000 0.860019
1.000 113.000 36.000 0.963889
1.000 115.000 36.000 1.321252
3.000 1.000 36.000 0.946454
3.000 3.000 36.000 1.044512
3.000 5.000 36.000 0.807713
3.000 7.000 36.000 1.263876
3.000 9.000 36.000 1.050324
3.000 11.000 36.000 1.125135
3.000 13.000 36.000 0.830960
3.000 15.000 36.000 1.142570
3.000 17.000 36.000 0.958077
3.000 19.000 36.000 0.963889
3.000 21.000 36.000 1.309628
3.000 23.000 36.000 0.923207
3.000 25.000 36.000 0.767773
3.000 27.000 36.000 1.113512
3.000 29.000 36.000 1.101888
3.000 31.000 36.000 1.067759
3.000 33.000 36.000 0.807713
3.000 35.000 36.000 0.940642
3.000 37.000 36.000 1.165817
3.000 39.000 36.000 0.934830
3.000 41.000 36.000 1.160006
3.000 43.000 36.000 1.211570
3.000 45.000 36.000 0.744526
3.000 47.000 36.000 0.658091
3.000 49.000 36.000 1.136759
3.000 51.000 36.000 0.836772
3.000 53.000 36.000 1.038700
3.000 55.000 36.000 0.848396
3.000 57.000 36.000 1.309628
3.000 59.000 36.000 0.652279
3.000 61.000 36.000 1.044512
3.000 63.000 36.000 1.309628
3.000 65.000 36.000 0.652279
3.000 67.000 36.000 0.923207
3.000 69.000 36.000 1.234817
3.000 71.000 36.000 0.825149
3.000 73.000 36.000 0.756149
3.000 75.000 36.000 1.021265
3.000 77.000 36.000 1.056136
3.000 79.000 36.000 1.119323
3.000 81.000 36.000 1.027077
3.000 83.000 36.000 0.842584
3.000 85.000 36.000 0.929019
3.000 87.000 36.000 0.940642
3.000 89.000 36.000 1.021265
3.000 91.000 36.000 0.836772
3.000 93.000 36.000 0.830960
3.000 95.000 36.000 0.923207
3.000 97.000 36.000 0.623220
3.000 99.000 36.000 1.056136
3.000 101.000 36.000 0.732902
3.000 103.000 36.000 1.499933
3.000 105.000 36.000 0.842584
3.000 107.000 36.000 1.217382
3.000 109.000 36.000 0.848396
3.000 111.000 36.000 1.038700
3.000 113.000 36.000 1.056136
3.000 115.000 36.000 1.130947
5.000 1.000 36.000 1.223193
5.000 3.000 36.000 0.732902
5.000 5.000 36.000 1.032889
5.000 7.000 36.000 0.634844
5.000 9.000 36.000 0.727090
5.000 11.000 36.000 0.138741
5.000 13.000 36.000 1.032889
5.000 15.000 36.000 1.240629
5.000 17.000 36.000 0.934830
5.000 19.000 36.000 0.738714
5.000 21.000 36.000 1.032889
5.000 23.000 36.000 1.142570
5.000 25.000 36.000 1.592180
5.000 27.000 36.000 0.934830
5.000 29.000 36.000 0.779396
5.000 31.000 36.000 0.998018
5.000 33.000 36.000 1.061947
5.000 35.000 36.000 0.825149
5.000 37.000 36.000 1.009642
5.000 39.000 36.000 0.646467
5.000 41.000 36.000 0.934830
5.000 43.000 36.000 0.911583
5.000 45.000 36.000 1.413498
5.000 47.000 36.000 1.021265
5.000 49.000 36.000 1.119323
5.000 51.000 36.000 0.756149
5.000 53.000 36.000 1.303817
5.000 55.000 36.000 0.917395
5.000 57.000 36.000 1.154194
5.000 59.000 36.000 0.669714
5.000 61.000 36.000 1.315440
5.000 63.000 36.000 1.119323
5.000 65.000 36.000 0.819337
5.000 67.000 36.000 1.050324
5.000 69.000 36.000 0.750337
5.000 71.000 36.000 1.130947
5.000 73.000 36.000 1.240629
5.000 75.000 36.000 0.658091
5.000 77.000 36.000 0.801902
5.000 79.000 36.000 1.199946
5.000 81.000 36.000 0.669714
5.000 83.000 36.000 0.634844
5.000 85.000 36.000 1.130947
5.000 87.000 36.000 1.413498
5.000 89.000 36.000 0.554221
5.000 91.000 36.000 1.125135
5.000 93.000 36.000 1.130947
5.000 95.000 36.000 1.021265
5.000 97.000 36.000 1.246440
5.000 99.000 36.000 1.136759
5.000 101.000 36.000 0.865831
5.000 103.000 36.000 0.934830
5.000 105.000 36.000 1.223193
5.000 107.000 36.000 0.744526
5.000 109.000 36.000 0.732902
5.000 111.000 36.000 1.009642
5.000 113.000 36.000 1.113512
5.000 115.000 36.000 0.629032
7.000 1.000 36.000 0.571656
7.000 3.000 36.000 1.125135
7.000 5.000 36.000 0.940642
7.000 7.000 36.000 0.923207
7.000 9.000 36.000 1.229005
7.000 11.000 36.000 1.038700
7.000 13.000 36.000 0.640655
7.000 15.000 36.000 1.050324
7.000 17.000 36.000 0.634844
7.000 19.000 36.000 1.615427
7.000 21.000 36.000 0.617408
7.000 23.000 36.000 0.952266
7.000 25.000 36.000 0.652279
7.000 27.000 36.000 1.142570
7.000 29.000 36.000 0.917395
7.000 31.000 36.000 0.946454
7.000 33.000 36.000 1.286381
7.000 35.000 36.000 0.629032
7.000 37.000 36.000 0.554221
7.000 39.000 36.000 1.419310
7.000 41.000 36.000 0.940642
7.000 43.000 36.000 1.125135
7.000 45.000 36.000 0.560032
7.000 47.000 36.000 0.732902
7.000 49.000 36.000 1.160006
7.000 51.000 36.000 1.021265
7.000 53.000 36.000 1.021265
7.000 55.000 36.000 1.056136
7.000 57.000 36.000 0.854207
7.000 59.000 36.000 0.923207
7.000 61.000 36.000 0.750337
7.000 63.000 36.000 1.142570
7.000 65.000 36.000 0.934830
7.000 67.000 36.000 0.842584
7.000 69.000 36.000 0.923207
7.000 71.000 36.000 0.952266
7.000 73.000 36.000 0.634844
7.000 75.000 36.000 0.929019
7.000 77.000 36.000 0.836772
7.000 79.000 36.000 0.467786
7.000 81.000 36.000 0.952266
7.000 83.000 36.000 1.015453
7.000 85.000 36.000 1.032889
7.000 87.000 36.000 0.560032
7.000 89.000 36.000 1.425122
7.000 91.000 36.000 0.877454
7.000 93.000 36.000 0.836772
7.000 95.000 36.000 0.721279
7.000 97.000 36.000 0.663903
7.000 99.000 36.000 1.090265
7.000 101.000 36.000 0.744526
7.000 103.000 36.000 0.830960
7.000 105.000 36.000 1.321252
7.000 107.000 36.000 0.934830
7.000 109.000 36.000 1.038700
7.000 111.000 36.000 0.640655
7.000 113.000 36.000 1.142570
7.000 115.000 36.000 1.136759
9.000 1.000 36.000 1.027077
9.000 3.000 36.000 0.744526
9.000 5.000 36.000 1.038700
9.000 7.000 36.000 0.761961
9.000 9.000 36.000 0.946454
9.000 11.000 36.000 0.629032
9.000 13.000 36.000 1.367004
9.000 15.000 36.000 0.750337
9.000 17.000 36.000 1.130947
9.000 19.000 36.000 1.160006
9.000 21.000 36.000 1.038700
9.000 23.000 36.000 0.738714
9.000 25.000 36.000 0.658091
9.000 27.000 36.000 0.963889
9.000 29.000 36.000 1.038700
9.000 31.000 36.000 0.923207
9.000 33.000 36.000 0.554221
9.000 35.000 36.000 1.356122
9.000 37.000 36.000 0.825149
9.000 39.000 36.000 1.038700
9.000 41.000 36.000 0.825149
9.000 43.000 36.000 0.865831
9.000 45.000 36.000 0.923207
9.000 47.000 36.000 0.825149
9.000 49.000 36.000 1.015453
9.000 51.000 36.000 0.848396
9.000 53.000 36.000 1.234817
9.000 55.000 36.000 0.727090
9.000 57.000 36.000 0.830960
9.000 59.000 36.000 1.136759
9.000 61.000 36.000 1.125135
9.000 63.000 36.000 0.940642
9.000 65.000 36.000 1.015453
9.000 67.000 36.000 0.663903
9.000 69.000 36.000 1.032889
9.000 71.000 36.000 0.934830
9.000 73.000 36.000 1.107700
9.000 75.000 36.000 1.113512
9.000 77.000 36.000 0.756149
9.000 79.000 36.000 1.240629
9.000 81.000 36.000 0.934830
9.000 83.000 36.000 1.038700
9.000 85.000 36.000 0.750337
9.000 87.000 36.000 0.923207
9.000 89.000 36.000 1.038700
9.000 91.000 36.000 0.917395
9.000 93.000 36.000 1.142570
9.000 95.000 36.000 0.929019
9.000 97.000 36.000 0.905772
9.000 99.000 36.000 0.854207
9.000 101.000 36.000 1.315440
9.000 103.000 36.000 0.830960
9.000 105.000 36.000 0.473598
9.000 107.000 36.000 0.917395
9.000 109.000 36.000 1.050324
9.000 111.000 36.000 1.142570
9.000 113.000 36.000 1.148382
9.000 115.000 36.000 0.738714
11.000 1.000 36.000 1.407687
11.000 3.000 36.000 0.917395
11.000 5.000 36.000 0.646467
11.000 7.000 36.000 1.436745
11.000 9.000 36.000 0.727090
11.000 11.000 36.000 0.871643
11.000 13.000 36.000 0.952266
11.000 15.000 36.000 1.211570
11.000 17.000 36.000 0.640655
11.000 19.000 36.000 1.021265
11.000 21.000 36.000 1.113512
11.000 23.000 36.000 0.756149
11.000 25.000 36.000 0.992206
11.000 27.000 36.000 1.234817
11.000 29.000 36.000 0.940642
11.000 31.000 36.000 0.929019
11.000 33.000 36.000 0.940642
11.000 35.000 36.000 1.090265
11.000 37.000 36.000 1.044512
11.000 39.000 36.000 0.652279
11.000 41.000 36.000 0.732902
11.000 43.000 36.000 0.998018
11.000 45.000 36.000 1.327064
11.000 47.000 36.000 1.073571
11.000 49.000 36.000 0.917395
11.000 51.000 36.000 1.015453
11.000 53.000 36.000 0.750337
11.000 55.000 36.000 0.929019
11.000 57.000 36.000 0.819337
11.000 59.000 36.000 0.830960
11.000 61.000 36.000 0.848396
11.000 63.000 36.000 1.096076
11.000 65.000 36.000 1.269687
11.000 67.000 36.000 0.917395
11.000 69.000 36.000 0.825149
11.000 71.000 36.000 1.101888
11.000 73.000 36.000 0.842584
11.000 75.000 36.000 0.744526
11.000 77.000 36.000 0.934830
11.000 79.000 36.000 0.830960
11.000 81.000 36.000 1.027077
11.000 83.000 36.000 1.021265
11.000 85.000 36.000 0.923207
11.000 87.000 36.000 0.842584
11.000 89.000 36.000 0.444539
11.000 91.000 36.000 1.044512
11.000 93.000 36.000 1.027077
11.000 95.000 36.000 0.571656
11.000 97.000 36.000 1.609615
11.000 99.000 36.000 0.952266
11.000 101.000 36.000 1.027077
11.000 103.000 36.000 1.148382
11.000 105.000 36.000 1.015453
11.000 107.000 36.000 1.038700
11.000 109.000 36.000 0.721279
