------Mass density on Y axis (unit:g/cm^3)------
dy = 0.500, xl = 45.000, xh = 85.000, yl = 0.000, yh = 116.000,  zl = 0.000, zh = 72.000
ypos  massDensity
0.250 1.028239
0.750 1.114822
1.250 0.977541
1.750 0.923355
2.250 0.879334
2.750 1.107848
3.250 0.856532
3.750 1.025915
4.250 0.976378
4.750 1.037538
5.250 1.039714
5.750 0.871346
6.250 0.902729
6.750 0.950955
7.250 0.993517
7.750 0.862195
8.250 1.103199
8.750 0.858857
9.250 0.962430
9.750 1.061799
10.250 0.858708
10.750 1.012115
11.250 0.869021
11.750 0.881807
12.250 1.253118
12.750 0.991489
13.250 1.169008
13.750 0.911879
14.250 0.812362
14.750 0.773283
15.250 0.806843
15.750 1.052745
16.250 1.819859
16.750 2.070297
17.250 2.361359
17.750 2.289594
18.250 1.771813
18.750 1.875255
19.250 1.119616
19.750 0.773479
20.250 0.769499
20.750 0.637455
21.250 1.218741
21.750 2.152149
22.250 2.064830
22.750 2.693413
23.250 2.163876
23.750 1.800727
24.250 1.807016
24.750 0.968630
25.250 0.543753
25.750 0.822572
26.250 0.766699
26.750 1.585507
27.250 2.118840
27.750 1.921586
28.250 2.806689
28.750 1.560593
29.250 2.058926
29.750 1.517438
30.250 0.889069
30.750 0.640502
31.250 0.801798
31.750 0.779385
32.250 1.614419
32.750 2.028866
33.250 2.039313
33.750 2.565428
34.250 1.758940
34.750 1.858255
35.250 1.691718
35.750 0.824425
36.250 0.725874
36.750 0.677549
37.250 1.130991
37.750 1.574134
38.250 1.845179
38.750 1.965616
39.250 2.372790
39.750 2.023249
40.250 1.748474
40.750 1.515206
41.250 1.064224
41.750 0.576004
42.250 0.379791
42.750 0.374081
43.250 0.722501
43.750 1.288016
44.250 1.531563
44.750 1.923761
45.250 1.615575
45.750 1.488790
46.250 1.194763
46.750 1.057328
47.250 1.121824
47.750 1.189908
48.250 1.155238
48.750 1.232528
49.250 1.380371
49.750 1.494660
50.250 1.352673
50.750 1.329673
51.250 1.276295
51.750 1.431120
52.250 0.966086
52.750 1.379158
53.250 1.176161
53.750 1.780658
54.250 0.992727
54.750 1.345898
55.250 1.402109
55.750 1.431072
56.250 1.183039
56.750 1.191073
57.250 1.273112
57.750 1.211854
58.250 1.293682
58.750 1.387240
59.250 1.213112
59.750 1.544098
60.250 1.225699
60.750 1.150840
61.250 1.506077
61.750 1.240659
62.250 1.178485
62.750 1.573922
63.250 1.291609
63.750 1.324973
64.250 1.177278
64.750 1.466962
65.250 1.056113
65.750 1.501428
66.250 1.252335
66.750 1.240765
67.250 1.598175
67.750 1.281251
68.250 1.387149
68.750 1.451994
69.250 1.245256
69.750 1.239804
70.250 1.102167
70.750 1.401095
71.250 1.264920
71.750 1.396543
72.250 1.172628
72.750 1.432235
73.250 1.358234
73.750 1.445269
74.250 1.596059
74.750 1.209680
75.250 1.851079
75.750 1.563604
76.250 1.058427
76.750 0.633688
77.250 0.422452
77.750 0.489373
78.250 1.033034
78.750 1.321560
79.250 1.930698
79.750 1.575504
80.250 2.621071
80.750 1.903146
81.250 2.199606
81.750 1.432054
82.250 1.140441
82.750 0.761708
83.250 0.585350
83.750 0.674306
84.250 1.489833
84.750 1.867260
85.250 1.852392
85.750 2.569117
86.250 1.942320
86.750 2.032442
87.250 1.585620
87.750 1.010128
88.250 0.762821
88.750 0.715462
89.250 0.854445
89.750 1.359377
90.250 1.967743
90.750 1.774047
91.250 2.729401
91.750 1.799272
92.250 2.023196
92.750 1.645512
93.250 0.891445
93.750 0.807609
94.250 0.744272
94.750 0.735663
95.250 1.594718
95.750 2.141061
96.250 1.693130
96.750 2.875884
97.250 1.916992
97.750 2.106142
98.250 1.379177
98.750 0.732028
99.250 0.733911
99.750 0.757108
100.250 1.012409
100.750 1.814086
101.250 1.906532
101.750 2.479034
102.250 2.065965
102.750 2.093605
103.250 1.832488
103.750 1.131193
104.250 0.793043
104.750 0.672754
105.250 0.830959
105.750 1.046836
106.250 1.096373
106.750 1.166683
107.250 0.833285
107.750 0.797549
108.250 0.790723
108.750 0.972743
109.250 1.035362
109.750 1.093900
110.250 1.016764
110.750 0.765448
111.250 1.053663
111.750 1.067463
112.250 1.037538
112.750 0.912746
113.250 0.704288
113.750 1.102036
114.250 1.066449
114.750 0.890958
115.250 0.939331
115.750 0.873819
The total mass is 265332.934126 amu
