------Mass density on Y axis (unit:g/cm^3)------
dy = 2.000, xl = 45.000, xh = 85.000, yl = 0.000, yh = 116.000,  zl = 0.000, zh = 72.000
ypos  massDensity
1.000 1.010989
3.000 0.967407
5.000 0.981244
7.000 0.927349
9.000 0.996571
11.000 0.905413
13.000 1.081373
15.000 0.861308
17.000 2.135277
19.000 1.385041
21.000 1.194461
23.000 2.180712
25.000 1.035493
27.000 1.598158
29.000 1.985911
31.000 0.777689
33.000 2.062006
35.000 1.533334
37.000 1.027137
39.000 2.051708
41.000 1.225977
43.000 0.691097
45.000 1.639923
47.000 1.140956
49.000 1.315699
51.000 1.347440
53.000 1.325516
55.000 1.292951
57.000 1.214770
59.000 1.359533
61.000 1.280819
63.000 1.342247
65.000 1.300445
67.000 1.343132
69.000 1.331051
71.000 1.291181
73.000 1.352091
75.000 1.555106
77.000 0.650985
79.000 1.465199
81.000 2.038969
83.000 0.790451
85.000 1.944650
87.000 1.642627
89.000 0.923026
91.000 2.067616
93.000 1.341940
95.000 1.303929
97.000 2.148037
99.000 0.900556
101.000 1.803015
103.000 1.780813
105.000 0.835898
107.000 0.973472
109.000 0.973182
111.000 0.975834
113.000 0.939152
115.000 0.942639
The total mass is 265332.934126 amu
